#  T(K)  <E>    <|M|>     Szi    C(Sz)    Sxi    C(Sx)   Z1X2    X1Z2    Bell
#  ---  ------  -----    -----   -----   -----   -----   -----  ------   -----
  4.29  -0.253   0.000  -0.000   0.002   0.256   0.001  -0.010  -0.061   0.080  
  4.29  -0.258   0.001   0.001   0.001   0.259   0.001   0.020   0.067   0.038  
  4.28  -0.263   0.000  -0.000   0.002   0.257   0.001  -0.005  -0.021   0.073  
  4.28  -0.261   0.000   0.000   0.003   0.258   0.000   0.010  -0.062   0.052  
  4.27  -0.257   0.001  -0.002   0.004   0.257   0.001  -0.055  -0.041   0.144  
  4.27  -0.252   0.003   0.002   0.002   0.255   0.001   0.042  -0.005   0.008  
  4.26  -0.249   0.000   0.000   0.002   0.260   0.001   0.000   0.016   0.068  
  4.26  -0.248   0.000  -0.001   0.002   0.258   0.001  -0.026   0.015   0.103  
  4.25  -0.261   0.001  -0.001   0.004   0.257   0.000  -0.026  -0.010   0.103  
  4.25  -0.275   0.001   0.002   0.002   0.259   0.001   0.042   0.083   0.010  
  4.24  -0.261   0.000   0.000   0.002   0.260   0.001   0.010  -0.010   0.053  
  4.24  -0.254   0.001   0.000   0.000   0.261   0.001   0.011  -0.042   0.054  
  4.23  -0.262   0.001  -0.002   0.003   0.261   0.000  -0.041   0.031   0.126  
  4.23  -0.262   0.001   0.001   0.002   0.263   0.000   0.016  -0.032   0.047  
  4.22  -0.273   0.000  -0.000   0.002   0.265   0.001  -0.011   0.011   0.086  
  4.22  -0.270   0.001  -0.002   0.002   0.262   0.001  -0.042  -0.031   0.129  
  4.21  -0.262   0.000  -0.001   0.003   0.263   0.001  -0.016  -0.021   0.092  
  4.21  -0.275   0.001  -0.000   0.003   0.268   0.001  -0.010   0.000   0.085  
  4.20  -0.278   0.000   0.001   0.002   0.267   0.001   0.016  -0.032   0.049  
  4.20  -0.264   0.001  -0.001   0.003   0.261   0.001  -0.021   0.026   0.100  
  4.19  -0.273   0.001   0.001   0.002   0.261   0.001   0.016  -0.026   0.047  
  4.19  -0.273   0.000   0.004   0.002   0.261   0.001   0.109   0.021  -0.086  
  4.18  -0.258   0.001   0.001   0.004   0.264   0.001   0.016  -0.016   0.049  
  4.18  -0.270   0.003  -0.001   0.003   0.268   0.001  -0.032   0.005   0.116  
  4.17  -0.252   0.001   0.001   0.003   0.265   0.000   0.037   0.026   0.018  
  4.17  -0.256   0.001   0.001   0.002   0.268   0.001   0.026   0.005   0.034  
  4.16  -0.251   0.002   0.001   0.003   0.266   0.001   0.016  -0.043   0.049  
  4.16  -0.269   0.001  -0.000   0.001   0.268   0.001  -0.011   0.048   0.086  
  4.15  -0.265   0.002  -0.000   0.002   0.267   0.000  -0.005   0.000   0.078  
  4.15  -0.264   0.002   0.002   0.002   0.268   0.001   0.059  -0.005  -0.011  
  4.14  -0.271   0.002  -0.003   0.003   0.268   0.001  -0.079  -0.075   0.183  
  4.14  -0.261   0.001   0.001   0.002   0.266   0.001   0.021   0.011   0.041  
  4.13  -0.272   0.001   0.000   0.001   0.265   0.001   0.011  -0.032   0.056  
  4.13  -0.269   0.001  -0.001   0.004   0.267   0.001  -0.021   0.016   0.103  
  4.12  -0.275   0.001   0.000   0.003   0.270   0.001   0.000   0.016   0.074  
  4.12  -0.274   0.000  -0.000   0.004   0.267   0.001  -0.005  -0.027   0.081  
  4.11  -0.261   0.000  -0.003   0.002   0.272   0.000  -0.072   0.027   0.176  
  4.11  -0.276   0.000   0.000   0.001   0.269   0.001   0.005   0.005   0.065  
