#   n   1/n    <E>    <|M|>     Szi    C(Sz)    Sxi    C(Sx)   Z1X2    X1Z2    Bell
#  ---  ----  ------  -----    -----   -----   -----   -----   -----  ------   -----
  161    0.006  -0.228   0.008   0.000   0.002   0.212   0.001   0.007   0.015   0.037
  162    0.006  -0.217   0.008  -0.001   0.001   0.213   0.000  -0.018  -0.018   0.072
  163    0.006  -0.221   0.008   0.000   0.002   0.215   0.000   0.007  -0.017   0.037
  164    0.006  -0.213   0.008   0.001   0.001   0.212   0.000   0.018  -0.003   0.020
  165    0.006  -0.209   0.008   0.000   0.001   0.213   0.000   0.009  -0.006   0.033
  166    0.006  -0.211   0.008   0.001   0.001   0.215   0.000   0.029   0.047   0.006
  167    0.006  -0.209   0.008   0.000   0.001   0.212   0.000   0.014   0.006   0.026
  168    0.006  -0.209   0.008   0.000   0.001   0.214   0.000   0.008  -0.033   0.035
  169    0.006  -0.218   0.008  -0.001   0.001   0.212   0.000  -0.026   0.009   0.082
  170    0.006  -0.209   0.008  -0.000   0.001   0.213   0.000  -0.015   0.008   0.067
  171    0.006  -0.204   0.008   0.001   0.001   0.217   0.000   0.021  -0.027   0.017
  172    0.006  -0.214   0.008   0.000   0.001   0.211   0.000   0.010  -0.017   0.031
  173    0.006  -0.224   0.008   0.001   0.001   0.212   0.000   0.043   0.009  -0.016
  174    0.006  -0.212   0.007   0.001   0.001   0.214  -0.000   0.027   0.042   0.007
  175    0.006  -0.224   0.008  -0.000   0.002   0.216   0.000  -0.016   0.004   0.069
  176    0.006  -0.218   0.008   0.000   0.001   0.214   0.000   0.007  -0.019   0.036
  177    0.006  -0.213   0.008   0.000   0.002   0.213   0.000   0.004   0.025   0.041
  178    0.006  -0.220   0.008   0.000   0.001   0.212   0.000   0.012  -0.019   0.029
  179    0.006  -0.213   0.008  -0.000   0.001   0.214   0.000  -0.004   0.001   0.051
  180    0.006  -0.205   0.008   0.001   0.001   0.215   0.000   0.028  -0.007   0.006
  181    0.006  -0.217   0.007   0.000   0.002   0.217   0.000   0.011  -0.001   0.032
  182    0.005  -0.213   0.007  -0.000   0.002   0.212   0.000  -0.014  -0.033   0.066
  183    0.005  -0.216   0.008  -0.000   0.001   0.214   0.000  -0.004   0.006   0.051
  184    0.005  -0.223   0.008  -0.000   0.001   0.216   0.000  -0.019  -0.014   0.073
  185    0.005  -0.211   0.007   0.000   0.001   0.217   0.000   0.013   0.025   0.028
  186    0.005  -0.210   0.007   0.000   0.001   0.213   0.000   0.000   0.000   0.046
  187    0.005  -0.220   0.007  -0.000   0.001   0.211   0.000  -0.010   0.010   0.060
  188    0.005  -0.216   0.007   0.001   0.002   0.213   0.000   0.027   0.011   0.007
  189    0.005  -0.210   0.007  -0.000   0.001   0.214   0.000  -0.008   0.008   0.057
  190    0.005  -0.222   0.007   0.000   0.001   0.213   0.000   0.005   0.013   0.040
