# T(K)  <E>    <|M|>     Szi    C(Sz)    Sxi    C(Sx)   Z1X2    X1Z2    Bell
# ---  ------  -----    -----   -----   -----   -----   -----  ------   -----
 3.33  -0.332   0.004  -0.002   0.009   0.352   0.004  -0.023   0.047   0.158
 3.32  -0.404   0.011   0.013   0.015   0.362   0.004   0.142   0.193  -0.068
 3.31  -0.403   0.008   0.002   0.009   0.349   0.004   0.024   0.093   0.095
 3.30  -0.411   0.002   0.009   0.015   0.358   0.003   0.095   0.143  -0.004
 3.29  -0.353   0.008   0.009   0.004   0.354   0.003   0.096   0.024  -0.005
 3.28  -0.324   0.000  -0.013   0.013   0.357   0.004  -0.143   0.071   0.333
 3.27  -0.387   0.001  -0.013   0.011   0.368   0.003  -0.146   0.000   0.343
 3.26  -0.351   0.006  -0.002   0.013   0.361   0.005  -0.024  -0.048   0.169
 3.25  -0.377   0.005   0.020   0.020   0.363   0.003   0.217   0.169  -0.172
 3.24  -0.362   0.003  -0.002   0.011   0.361   0.005  -0.024  -0.024   0.171
 3.23  -0.332   0.007   0.009   0.013   0.366   0.004   0.099  -0.122  -0.001
 3.22  -0.420   0.014   0.020   0.013   0.363   0.004   0.220   0.145  -0.175
 3.21  -0.398   0.016   0.009   0.007   0.378   0.004   0.099   0.151   0.005
 3.20  -0.420   0.001  -0.004   0.000   0.372   0.004  -0.050   0.223   0.216
 3.19  -0.426   0.001   0.018   0.018   0.372   0.004   0.196   0.074  -0.137
 3.18  -0.335   0.014   0.020   0.005   0.377   0.004   0.228  -0.050  -0.175
 3.17  -0.422   0.002  -0.004   0.011   0.378   0.004  -0.051   0.050   0.220
 3.16  -0.399   0.004  -0.016   0.020   0.378   0.003  -0.178  -0.126   0.400
 3.15  -0.326   0.010  -0.016   0.018   0.384   0.004  -0.176  -0.205   0.397
 3.14  -0.343   0.003   0.009   0.020   0.386   0.003   0.103   0.154   0.006
 3.13  -0.355   0.018   0.018   0.018   0.379   0.004   0.204   0.126  -0.139
 3.12  -0.358   0.001  -0.020   0.002   0.385   0.006  -0.232   0.026   0.483
 3.11  -0.419   0.004   0.016   0.007   0.395   0.004   0.182   0.026  -0.099
 3.10  -0.383   0.009   0.000   0.009   0.390   0.004   0.000   0.182   0.153
 3.09  -0.340   0.004   0.024   0.017   0.387   0.004   0.287   0.258  -0.250
 3.08  -0.432   0.006   0.007   0.020   0.393   0.004   0.080   0.131   0.048
 3.07  -0.410   0.001   0.016   0.009   0.397   0.005   0.187  -0.053  -0.101
 3.06  -0.472   0.000   0.002   0.011   0.404   0.005   0.026   0.027   0.127
 3.05  -0.465   0.011   0.004  -0.000   0.407   0.004   0.054   0.027   0.092
 3.04  -0.442   0.008   0.002   0.011   0.406   0.003   0.027  -0.027   0.130
 3.03  -0.445   0.002  -0.002   0.016   0.405   0.003  -0.027  -0.081   0.203
 3.02  -0.370   0.006  -0.013   0.013   0.394   0.005  -0.160  -0.184   0.390
 3.01  -0.383   0.017   0.011   0.022   0.403   0.004   0.138   0.108  -0.024
 3.00  -0.402   0.000   0.002   0.004   0.400   0.003   0.027   0.107   0.127
 2.99  -0.403   0.007   0.020   0.020   0.409   0.005   0.248   0.191  -0.177
 2.98  -0.436   0.012  -0.013   0.011   0.411   0.005  -0.166  -0.165   0.412
 2.97  -0.387   0.012  -0.013   0.029   0.417   0.004  -0.167  -0.167   0.414
 2.96  -0.408   0.011  -0.009   0.016   0.416   0.004  -0.112  -0.055   0.338
 2.95  -0.430   0.014  -0.013   0.020   0.419   0.005  -0.166  -0.112   0.414
 2.94  -0.421   0.011  -0.013   0.011   0.418   0.006  -0.169  -0.056   0.421
 2.93  -0.385   0.021   0.018  -0.002   0.423   0.005   0.224  -0.113  -0.134
 2.92  -0.458   0.023   0.009   0.004   0.432   0.005   0.116   0.201   0.028
 2.91  -0.385   0.000   0.004   0.007   0.421   0.005   0.057   0.056   0.104
 2.90  -0.466   0.017   0.011   0.022   0.426   0.004   0.143   0.057  -0.016
 2.89  -0.395   0.019  -0.002   0.013   0.429   0.004  -0.028   0.000   0.228
 2.88  -0.406   0.039  -0.013   0.015   0.436   0.004  -0.175  -0.174   0.442
 2.87  -0.407   0.014   0.016   0.015   0.437   0.006   0.199   0.379  -0.089
 2.86  -0.373   0.004   0.004   0.016   0.434   0.005   0.059  -0.058   0.114
 2.85  -0.393   0.011  -0.011   0.011   0.438   0.004  -0.148   0.029   0.408
 2.84  -0.449   0.009   0.009   0.007   0.445   0.005   0.119  -0.059   0.035
 2.83  -0.393   0.014  -0.004   0.016   0.449   0.005  -0.059  -0.060   0.285
 2.82  -0.418   0.009  -0.002   0.024   0.452   0.003  -0.030  -0.030   0.250
 2.81  -0.444   0.029  -0.004  -0.000   0.455   0.006  -0.059  -0.030   0.291
 2.80  -0.453   0.004   0.007   0.018   0.456   0.005   0.092   0.304   0.085
 2.79  -0.502   0.011  -0.020   0.017   0.459   0.006  -0.277  -0.245   0.608
 2.78  -0.512   0.002  -0.009   0.013   0.455   0.005  -0.122  -0.152   0.387
 2.77  -0.482   0.016  -0.013   0.020   0.455   0.004  -0.187  -0.061   0.481
 2.76  -0.464   0.002   0.000   0.016   0.467   0.005   0.000   0.000   0.227
 2.75  -0.430   0.003   0.027   0.015   0.460   0.005   0.373   0.307  -0.308
 2.74  -0.442   0.029  -0.013   0.015   0.464   0.006  -0.185  -0.186   0.483
 2.73  -0.398   0.010   0.009   0.022   0.469   0.005   0.125   0.156   0.049
 2.72  -0.481   0.025   0.020   0.013   0.471   0.004   0.289   0.126  -0.177
 2.71  -0.435   0.012  -0.020   0.011   0.479   0.006  -0.288  -0.096   0.644
 2.70  -0.437   0.025  -0.007   0.016   0.473   0.005  -0.095  -0.095   0.364
 2.69  -0.506   0.004   0.009   0.015   0.482   0.005   0.126   0.128   0.054
 2.68  -0.532   0.066  -0.016   0.022   0.482   0.004  -0.225  -0.129   0.554
 2.67  -0.507   0.036  -0.024   0.022   0.499   0.007  -0.367  -0.199   0.775
 2.66  -0.457   0.034  -0.004   0.020   0.492   0.005  -0.066  -0.131   0.341
 2.65  -0.491   0.001   0.000   0.011   0.487   0.006   0.000   0.000   0.242
 2.64  -0.437   0.031  -0.009   0.018   0.507   0.007  -0.134  -0.304   0.451
 2.63  -0.370   0.037  -0.027   0.024   0.522   0.005  -0.411  -0.348   0.856
 2.62  -0.514   0.036  -0.007   0.018   0.505   0.007  -0.101  -0.135   0.405
 2.61  -0.577   0.000  -0.002   0.016   0.520   0.007  -0.035   0.035   0.328
 2.60  -0.534   0.025   0.024   0.026   0.512   0.007   0.374   0.478  -0.261
 2.59  -0.531   0.059   0.007   0.027   0.512   0.007   0.105   0.000   0.128
 2.58  -0.503   0.051   0.000   0.016   0.525   0.007   0.000   0.210   0.280
 2.57  -0.482   0.021  -0.002   0.022   0.538   0.009  -0.036   0.072   0.347
 2.56  -0.588   0.037  -0.004   0.009   0.538   0.005  -0.070   0.108   0.390
 2.55  -0.555   0.052  -0.011   0.013   0.528   0.007  -0.180  -0.141   0.546
 2.54  -0.522   0.009   0.000   0.009   0.537   0.006   0.000  -0.107   0.299
 2.53  -0.496   0.015   0.020   0.015   0.548   0.009   0.328   0.329  -0.156
 2.52  -0.562   0.121   0.013   0.020   0.545   0.007   0.223   0.291  -0.004
 2.51  -0.559   0.032   0.020   0.011   0.554   0.007   0.330   0.259  -0.155
 2.50  -0.672   0.028  -0.007   0.022   0.551   0.007  -0.110  -0.073   0.466
 2.49  -0.558   0.102  -0.018   0.011   0.567   0.007  -0.300  -0.151   0.750
 2.48  -0.614   0.042   0.002   0.020   0.568   0.007   0.037   0.114   0.271
 2.47  -0.568   0.103  -0.004   0.022   0.571   0.007  -0.077  -0.038   0.447
 2.46  -0.493   0.015   0.011   0.015   0.560   0.007   0.187   0.112   0.056
 2.45  -0.537   0.023  -0.016   0.026   0.575   0.007  -0.271  -0.230   0.724
 2.44  -0.587   0.021  -0.027   0.013   0.584   0.010  -0.466  -0.195   1.008
 2.43  -0.527   0.073   0.016   0.022   0.591   0.009   0.283   0.394  -0.033
 2.42  -0.525   0.038   0.011   0.029   0.603   0.009   0.199   0.121   0.088
 2.41  -0.559   0.032  -0.033   0.028   0.622   0.008  -0.619  -0.539   1.267
 2.40  -0.666   0.045   0.000   0.016   0.607   0.008   0.000   0.000   0.375
 2.39  -0.681   0.083  -0.013   0.011   0.626   0.008  -0.250   0.167   0.754
 2.38  -0.662   0.145   0.031   0.021   0.635   0.009   0.587   0.465  -0.422
 2.37  -0.596   0.154   0.007   0.018   0.642   0.009   0.128   0.171   0.240
 2.36  -0.604   0.001  -0.002   0.020   0.597   0.007  -0.040  -0.119   0.424
 2.35  -0.591   0.233  -0.033   0.024   0.636   0.009  -0.632  -0.467   1.304
 2.34  -0.569   0.091  -0.029   0.026   0.646   0.008  -0.557  -0.431   1.210
 2.33  -0.610   0.153   0.031   0.028   0.655   0.007   0.614   0.611  -0.430
 2.32  -0.764   0.542   0.004   0.020   0.666   0.010   0.089   0.178   0.329
 2.31  -0.687   0.592   0.029   0.028   0.676   0.010   0.587   0.676  -0.363
 2.30  -0.742   0.600   0.027   0.019   0.703   0.009   0.557   0.469  -0.289
 2.29  -0.718   0.695   0.031   0.030   0.713   0.008   0.672   0.713  -0.428
 2.28  -0.641   0.581   0.022   0.020   0.724   0.009   0.478   0.386  -0.148
 2.27  -0.724   0.704   0.022   0.024   0.725   0.009   0.476   0.677  -0.146
 2.26  -0.712   0.738   0.027   0.017   0.733   0.008   0.582   0.440  -0.282
 2.25  -0.846   0.685   0.022   0.017   0.729   0.009   0.479   0.632  -0.145
 2.24  -0.719   0.659   0.029   0.026   0.732   0.010   0.634   0.683  -0.351
 2.23  -0.787   0.716  -0.029   0.028   0.731   0.009  -0.632  -0.731   1.436
 2.22  -0.922   0.746  -0.011   0.024   0.757   0.009  -0.252  -0.252   0.937
 2.21  -0.753   0.789  -0.031   0.030   0.768   0.008  -0.723  -0.768   1.625
 2.20  -0.755   0.715  -0.033   0.030   0.765   0.007  -0.758  -0.714   1.658
 2.19  -0.702   0.801  -0.031   0.030   0.782   0.006  -0.725  -0.782   1.639
 2.18  -0.806   0.804  -0.029   0.022   0.785   0.006  -0.683  -0.523   1.590
 2.17  -0.737   0.822  -0.031   0.028   0.795   0.005  -0.744  -0.742   1.691
 2.16  -0.726   0.829  -0.029   0.024   0.804   0.005  -0.703  -0.697   1.653
 2.15  -0.832   0.852  -0.018   0.022   0.815   0.007  -0.433  -0.597   1.280
 2.14  -0.789   0.830  -0.029   0.028   0.809   0.006  -0.689  -0.809   1.625
